,Unnamed: 0,param_criterion,param_max_depth,param_splitter,mean_test_score,val ac
0,0,gini,6,random,0.864522417,0.814
3,3,entropy,6,random,0.834632878,0.767
15,15,entropy,3,random,0.786224821,0.744
16,16,gini,8,random,0.782326186,0.744
22,22,entropy,3,best,0.756010396,0.744
36,36,entropy,7,best,0.714424951,0.744
38,38,entropy,6,best,0.708576998,0.744
4,4,entropy,5,random,0.816439246,0.721
5,5,gini,7,random,0.811565952,0.721
8,8,entropy,4,random,0.80994152,0.721
14,14,gini,6,best,0.786874594,0.721
18,18,entropy,9,random,0.77582846,0.721
25,25,entropy,10,best,0.750812216,0.721
27,27,entropy,9,best,0.738466537,0.721
32,32,gini,2,random,0.727095517,0.721
33,33,entropy,2,random,0.721247563,0.721
34,34,gini,2,best,0.720922677,0.721
37,37,entropy,2,best,0.709226771,0.721
39,39,entropy,5,best,0.703053931,0.721
7,7,gini,5,best,0.810591293,0.698
9,9,gini,9,random,0.805717999,0.698
11,11,entropy,8,random,0.799220273,0.698
12,12,entropy,7,random,0.793047433,0.698
19,19,entropy,10,random,0.768680962,0.698
26,26,entropy,8,best,0.743989604,0.698
1,1,gini,5,random,0.846978558,0.674
2,2,gini,4,random,0.846003899,0.674
6,6,gini,4,best,0.810591293,0.674
13,13,gini,3,random,0.792072775,0.674
17,17,gini,3,best,0.780051982,0.674
20,20,gini,7,best,0.763157895,0.674
10,10,gini,10,random,0.805717999,0.651
21,21,gini,8,best,0.757309942,0.651
23,23,gini,9,best,0.751461988,0.651
24,24,gini,10,best,0.751461988,0.651
35,35,entropy,4,best,0.715074724,0.651
28,28,gini,1,best,0.73294347,0.535
29,29,gini,1,random,0.73294347,0.535
30,30,entropy,1,best,0.73294347,0.535
31,31,entropy,1,random,0.73294347,0.535
